2019-02-22 10:18:31,531  INFO AWT-EventQueue-0:4449 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():34 - mouseMoved: 132, 168
2019-02-22 10:18:31,532  INFO AWT-EventQueue-0:4450 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():38 - mouseMoved: 2, 1
2019-02-22 10:18:31,532  INFO AWT-EventQueue-0:4450 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():40 - update current: java.awt.Point[x=2,y=1]
2019-02-22 10:18:31,537  INFO AWT-EventQueue-0:4455 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():34 - mouseMoved: 132, 170
2019-02-22 10:18:31,538  INFO AWT-EventQueue-0:4456 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():38 - mouseMoved: 2, 1
2019-02-22 10:18:31,538  INFO AWT-EventQueue-0:4456 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():40 - update current: java.awt.Point[x=2,y=1]
2019-02-22 10:18:31,549  INFO AWT-EventQueue-0:4467 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():34 - mouseMoved: 132, 172
2019-02-22 10:18:31,549  INFO AWT-EventQueue-0:4467 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():38 - mouseMoved: 2, 1
2019-02-22 10:18:31,550  INFO AWT-EventQueue-0:4468 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():40 - update current: java.awt.Point[x=2,y=1]
2019-02-22 10:18:31,551  INFO AWT-EventQueue-0:4469 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():34 - mouseMoved: 132, 176
2019-02-22 10:18:31,552  INFO AWT-EventQueue-0:4470 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():38 - mouseMoved: 2, 1
2019-02-22 10:18:31,552  INFO AWT-EventQueue-0:4470 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():40 - update current: java.awt.Point[x=2,y=1]
2019-02-22 10:18:31,562  INFO AWT-EventQueue-0:4480 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():34 - mouseMoved: 136, 182
2019-02-22 10:18:31,563  INFO AWT-EventQueue-0:4481 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():38 - mouseMoved: 2, 1
2019-02-22 10:18:31,564  INFO AWT-EventQueue-0:4482 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():40 - update current: java.awt.Point[x=2,y=1]
2019-02-22 10:18:31,570  INFO AWT-EventQueue-0:4488 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():34 - mouseMoved: 138, 188
2019-02-22 10:18:31,571  INFO AWT-EventQueue-0:4489 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():38 - mouseMoved: 2, 1
2019-02-22 10:18:31,571  INFO AWT-EventQueue-0:4489 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():40 - update current: java.awt.Point[x=2,y=1]
2019-02-22 10:18:31,584  INFO AWT-EventQueue-0:4502 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():34 - mouseMoved: 141, 192
2019-02-22 10:18:31,584  INFO AWT-EventQueue-0:4502 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():38 - mouseMoved: 2, 2
2019-02-22 10:18:31,585  INFO AWT-EventQueue-0:4503 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():40 - update current: java.awt.Point[x=2,y=2]
2019-02-22 10:18:31,585  INFO AWT-EventQueue-0:4503 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():34 - mouseMoved: 144, 199
2019-02-22 10:18:31,586  INFO AWT-EventQueue-0:4504 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():38 - mouseMoved: 2, 2
2019-02-22 10:18:31,586  INFO AWT-EventQueue-0:4504 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():40 - update current: java.awt.Point[x=2,y=2]
2019-02-22 10:18:31,595  INFO AWT-EventQueue-0:4513 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():34 - mouseMoved: 147, 206
2019-02-22 10:18:31,596  INFO AWT-EventQueue-0:4514 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():38 - mouseMoved: 2, 2
